Datum,Productie (kg),Opbrengst boeren (kg),Energieverbruik (kWh),CO2-uitstoot (kg),Omzet (€),Kosten (€),Winst (€),ROI (%)
2022-01-01,19943,1163,2241.0,2140.0,51957.0,30859.0,21098.0,68.37
2022-01-31,22910,1109,3979.0,3595.0,89859.0,30161.0,59698.0,197.93
2022-03-02,20558,2569,2731.0,2503.0,60941.0,41912.0,19029.0,45.4
2022-04-01,23025,1836,4020.0,3633.0,85052.0,27251.0,57801.0,212.11
2022-05-01,30066,1373,7021.0,5309.0,75989.0,45331.0,30658.0,67.63
2022-05-31,25762,2718,3016.0,2352.0,90577.0,52777.0,37800.0,71.62
2022-06-30,22284,2703,3227.0,2879.0,59283.0,29318.0,29965.0,102.21
2022-07-30,21040,2892,5484.0,4645.0,54429.0,40188.0,14241.0,35.44
2022-08-29,19953,2525,2888.0,2264.0,75167.0,32930.0,42237.0,128.26
2022-09-28,19989,1750,5914.0,4299.0,69503.0,25243.0,44260.0,175.34
2022-10-28,11366,1535,2431.0,2110.0,33950.0,19203.0,14747.0,76.8
2022-11-27,20645,1540,5750.0,4332.0,62618.0,37635.0,24983.0,66.38
2022-12-27,34678,1900,6644.0,5325.0,97241.0,44019.0,53222.0,120.91
2023-01-26,23456,1185,5247.0,4005.0,68562.0,40050.0,28512.0,71.19
2023-02-25,37096,2753,10658.0,8518.0,123906.0,40812.0,83094.0,203.6
2023-03-27,35366,2467,5289.0,4243.0,102418.0,63756.0,38662.0,60.64
2023-04-26,31124,1677,5048.0,3936.0,110947.0,33528.0,77419.0,230.91
2023-05-26,32470,2959,5037.0,4066.0,110601.0,61008.0,49593.0,81.29
2023-06-25,21762,2104,6465.0,5114.0,57326.0,39988.0,17338.0,43.36
2023-07-25,22317,1639,4620.0,3461.0,71409.0,26428.0,44981.0,170.2
2023-08-24,19397,2972,4195.0,3755.0,68744.0,31373.0,37371.0,119.12
2023-09-23,21899,2957,6304.0,4977.0,74402.0,42062.0,32340.0,76.89
2023-10-23,13933,1568,3392.0,2367.0,38109.0,22133.0,15976.0,72.18
2023-11-22,28687,2703,5675.0,4440.0,89554.0,56061.0,33493.0,59.74
2023-12-22,20794,2405,4502.0,3470.0,74464.0,30307.0,44157.0,145.7
2024-01-21,22588,2974,4722.0,3648.0,59844.0,37059.0,22785.0,61.48
2024-02-20,35613,1728,9345.0,7840.0,108699.0,52915.0,55784.0,105.42
2024-03-21,22451,1648,4811.0,4285.0,63377.0,30714.0,32663.0,106.35
2024-04-20,32213,1330,3226.0,2483.0,103186.0,39643.0,63543.0,160.29
2024-05-20,35889,1039,6850.0,5008.0,128680.0,40883.0,87797.0,214.75
2024-06-19,25823,1433,7053.0,5753.0,100407.0,42499.0,57908.0,136.26
2024-07-19,20025,1128,2637.0,1898.0,51847.0,36361.0,15486.0,42.59
2024-08-18,14817,2837,3540.0,2795.0,42801.0,31403.0,11398.0,36.3
2024-09-17,20750,2745,3682.0,2693.0,73880.0,44069.0,29811.0,67.65
2024-10-17,22711,2933,3262.0,2872.0,59769.0,40390.0,19379.0,47.98
2024-11-16,21971,1779,4836.0,4323.0,80520.0,45352.0,35168.0,77.54
2024-12-16,15465,2745,3366.0,2592.0,40681.0,23779.0,16902.0,71.08
2025-01-15,26670,2440,6826.0,5189.0,89943.0,50790.0,39153.0,77.09
2025-02-14,23820,1259,3320.0,2651.0,72357.0,27889.0,44468.0,159.45
2025-03-16,43566,2025,5418.0,4046.0,167447.0,84375.0,83072.0,98.46
2025-04-15,22553,2803,3994.0,3274.0,61113.0,31080.0,30033.0,96.63
2025-05-15,26310,1598,5175.0,4437.0,76072.0,49497.0,26575.0,53.69
2025-06-14,32185,1623,3620.0,3245.0,86983.0,55780.0,31203.0,55.94
2025-07-14,22843,1464,6675.0,5577.0,78940.0,36085.0,42855.0,118.76
2025-08-13,25373,2314,6049.0,5279.0,65002.0,38685.0,26317.0,68.03
2025-09-12,23695,2890,5069.0,4287.0,61257.0,43066.0,18191.0,42.24
2025-10-12,25785,1822,7278.0,6216.0,94124.0,40679.0,53445.0,131.38
2025-11-11,26837,1951,3134.0,2727.0,79064.0,48946.0,30118.0,61.53
2025-12-11,29669,1062,3217.0,2252.0,103477.0,60081.0,43396.0,72.23
2026-01-10,26094,1745,5495.0,4448.0,89228.0,42068.0,47160.0,112.1
2026-02-09,35130,1409,10255.0,8301.0,134350.0,51779.0,82571.0,159.47
2026-03-11,43019,2337,9288.0,7405.0,111270.0,65478.0,45792.0,69.93
2026-04-10,29776,2010,6392.0,4909.0,76578.0,53887.0,22691.0,42.11
2026-05-10,36191,1874,8010.0,5932.0,95592.0,47591.0,48001.0,100.86
2026-06-09,25011,1384,5339.0,4427.0,71346.0,41320.0,30026.0,72.67
2026-07-09,26292,2935,5609.0,4903.0,70202.0,45596.0,24606.0,53.97
2026-08-08,17136,1166,2623.0,1688.0,58432.0,21876.0,36556.0,167.11
2026-09-07,16279,2558,2077.0,1482.0,52741.0,19167.0,33574.0,175.17
2026-10-07,15052,2626,2506.0,1900.0,47493.0,28533.0,18960.0,66.45
2026-11-06,24769,1220,2684.0,2169.0,82884.0,26997.0,55887.0,207.01
