Datum,Trainingstijden (uren),Medewerkerstevredenheid (1-50),Verlooppercentage (%),Klanttevredenheid (1-10)
2022-01-01,125.9,50.0,8.47,10.0
2022-01-31,129.9,50.0,6.32,6.1
2022-03-02,87.0,37.6,9.22,8.5
2022-04-01,106.6,47.1,8.84,9.8
2022-05-01,95.0,34.2,9.45,10.0
2022-05-31,122.7,50.0,7.0,10.0
2022-06-30,103.7,39.4,8.97,10.0
2022-07-30,102.8,50.0,6.75,9.5
2022-08-29,106.8,45.0,8.73,10.0
2022-09-28,126.1,50.0,8.41,10.0
2022-10-28,63.2,45.3,8.35,10.0
2022-11-27,98.0,50.0,6.35,10.0
2022-12-27,85.8,31.3,10.21,9.0
2023-01-26,70.5,45.2,8.48,10.0
2023-02-25,77.4,26.4,7.39,9.8
2023-03-27,144.4,50.0,8.4,10.0
2023-04-26,89.2,41.1,8.58,10.0
2023-05-26,134.0,50.0,6.55,10.0
2023-06-25,51.3,18.5,8.69,10.0
2023-07-25,146.9,50.0,8.85,8.0
2023-08-24,63.2,39.7,9.02,8.8
2023-09-23,110.6,50.0,6.92,10.0
2023-10-23,61.2,43.3,6.2,7.0
2023-11-22,126.4,50.0,8.98,9.3
2023-12-22,126.1,50.0,6.07,7.1
2024-01-21,75.0,35.0,7.82,10.0
2024-02-20,97.2,50.0,8.19,7.4
2024-03-21,144.9,50.0,7.9,7.8
2024-04-20,69.7,21.3,9.37,10.0
2024-05-20,102.8,44.6,5.92,8.6
2024-06-19,124.0,50.0,6.95,8.6
2024-07-19,81.3,34.6,9.56,9.2
2024-08-18,110.6,50.0,8.64,10.0
2024-09-17,121.2,50.0,7.89,9.2
2024-10-17,131.4,50.0,6.62,7.3
2024-11-16,140.1,50.0,6.18,9.9
2024-12-16,112.3,50.0,8.38,10.0
2025-01-15,118.0,50.0,7.01,10.0
2025-02-14,93.1,50.0,7.42,10.0
2025-03-16,67.1,45.5,5.99,8.1
2025-04-15,119.9,50.0,6.92,9.7
2025-05-15,94.3,50.0,8.9,10.0
2025-06-14,137.0,50.0,9.3,9.2
2025-07-14,110.3,50.0,8.84,9.4
2025-08-13,80.7,36.4,9.19,8.3
2025-09-12,104.3,50.0,8.37,8.2
2025-10-12,99.4,50.0,7.2,6.7
2025-11-11,91.8,47.8,7.36,9.9
2025-12-11,58.5,37.6,7.98,10.0
2026-01-10,130.7,50.0,7.57,10.0
2026-02-09,128.8,50.0,6.95,6.9
2026-03-11,137.3,50.0,7.74,6.8
2026-04-10,127.9,50.0,6.74,9.0
2026-05-10,124.8,50.0,7.45,10.0
2026-06-09,112.0,44.5,8.57,10.0
2026-07-09,75.7,38.2,8.96,9.7
2026-08-08,108.6,50.0,8.19,10.0
2026-09-07,94.9,50.0,6.69,8.4
2026-10-07,116.4,50.0,7.9,10.0
2026-11-06,132.6,50.0,8.85,10.0
