Datum,Klanttevredenheid (1-10),Klantloyaliteit (1-10),Aantal klachten
2022-01-01,10.0,9.2,2
2022-01-31,6.1,4.9,34
2022-03-02,8.5,7.2,15
2022-04-01,9.8,10.0,2
2022-05-01,10.0,5.7,9
2022-05-31,10.0,10.0,0
2022-06-30,10.0,4.2,19
2022-07-30,9.5,6.2,3
2022-08-29,10.0,4.7,9
2022-09-28,10.0,8.2,4
2022-10-28,10.0,6.1,12
2022-11-27,10.0,4.9,10
2022-12-27,9.0,4.5,22
2023-01-26,10.0,7.1,3
2023-02-25,9.8,5.8,16
2023-03-27,10.0,5.5,6
2023-04-26,10.0,4.9,11
2023-05-26,10.0,5.2,14
2023-06-25,10.0,6.7,8
2023-07-25,8.0,5.2,19
2023-08-24,8.8,5.0,20
2023-09-23,10.0,5.6,20
2023-10-23,7.0,5.2,13
2023-11-22,9.3,5.1,9
2023-12-22,7.1,6.6,21
2024-01-21,10.0,6.1,5
2024-02-20,7.4,7.5,11
2024-03-21,7.8,6.5,21
2024-04-20,10.0,6.3,5
2024-05-20,8.6,4.6,10
2024-06-19,8.6,4.4,7
2024-07-19,9.2,7.6,16
2024-08-18,10.0,5.9,16
2024-09-17,9.2,7.0,17
2024-10-17,7.3,7.1,23
2024-11-16,9.9,6.3,3
2024-12-16,10.0,4.8,12
2025-01-15,10.0,4.5,9
2025-02-14,10.0,6.5,8
2025-03-16,8.1,6.5,25
2025-04-15,9.7,10.0,2
2025-05-15,10.0,10.0,2
2025-06-14,9.2,6.9,4
2025-07-14,9.4,5.7,13
2025-08-13,8.3,5.9,12
2025-09-12,8.2,4.6,20
2025-10-12,6.7,6.2,22
2025-11-11,9.9,9.9,3
2025-12-11,10.0,3.9,14
2026-01-10,10.0,10.0,1
2026-02-09,6.9,5.3,25
2026-03-11,6.8,5.7,28
2026-04-10,9.0,7.0,24
2026-05-10,10.0,8.7,2
2026-06-09,10.0,5.0,11
2026-07-09,9.7,9.6,3
2026-08-08,10.0,4.8,11
2026-09-07,8.4,7.6,7
2026-10-07,10.0,5.1,17
2026-11-06,10.0,7.2,17
