Datum,Totale opbrengst (kg),Regenval (mm),Bodemkwaliteit (1-10),Temperatuur (°C)
2022-01-01,127268.0,1210.6,6.7,26.6
2022-01-31,111562.0,1087.2,5.1,34.3
2022-03-02,122096.0,1521.2,6.2,15.9
2022-04-01,119853.0,1730.1,6.0,34.4
2022-05-01,125332.0,883.5,6.5,29.9
2022-05-31,125540.0,1700.7,6.5,28.3
2022-06-30,131302.0,1570.4,7.1,24.5
2022-07-30,127352.0,1370.6,6.7,16.1
2022-08-29,125933.0,867.0,6.6,18.4
2022-09-28,122795.0,1616.8,6.3,19.7
2022-10-28,131676.0,1674.1,7.1,20.6
2022-11-27,131191.0,1564.8,7.2,32.7
2022-12-27,119525.0,1187.7,5.9,32.4
2023-01-26,123208.0,1454.8,6.3,25.2
2023-02-25,109308.0,838.6,4.9,23.1
2023-03-27,118361.0,1410.9,5.8,20.1
2023-04-26,135445.0,1731.7,7.5,32.7
2023-05-26,134371.0,1789.0,7.4,21.8
2023-06-25,116904.0,1262.2,5.7,26.1
2023-07-25,123518.0,1296.9,6.3,19.9
2023-08-24,120197.0,1474.7,6.0,31.4
2023-09-23,131278.0,1393.2,7.1,30.7
2023-10-23,124475.0,1312.6,6.4,21.7
2023-11-22,125376.0,1134.0,6.5,32.9
2023-12-22,127322.0,1786.4,6.7,22.4
2024-01-21,124122.0,1075.0,6.4,34.9
2024-02-20,133541.0,1754.6,7.3,25.2
2024-03-21,118745.0,1152.4,5.8,17.7
2024-04-20,114689.0,885.9,5.4,31.6
2024-05-20,127329.0,1641.9,6.7,24.9
2024-06-19,131561.0,1282.0,7.1,26.8
2024-07-19,118569.0,884.8,5.9,32.0
2024-08-18,117826.0,922.8,5.7,30.5
2024-09-17,131261.0,1410.0,7.1,16.3
2024-10-17,134533.0,1521.8,7.4,28.2
2024-11-16,132824.0,1381.1,7.3,21.8
2024-12-16,135543.0,1800.1,7.5,16.3
2025-01-15,122133.0,1502.4,6.2,33.3
2025-02-14,122198.0,1766.2,6.2,23.7
2025-03-16,113569.0,1114.3,5.3,17.3
2025-04-15,132449.0,1582.2,7.2,34.9
2025-05-15,130574.0,1084.8,7.0,30.4
2025-06-14,110608.0,960.0,5.1,32.2
2025-07-14,119940.0,1284.2,6.0,18.7
2025-08-13,119685.0,1390.4,5.9,22.3
2025-09-12,129341.0,1569.1,6.9,21.9
2025-10-12,120408.0,1109.6,6.1,25.0
2025-11-11,115799.0,1045.1,5.5,17.4
2025-12-11,117155.0,1677.8,5.7,21.2
2026-01-10,121970.0,1031.3,6.1,18.8
2026-02-09,127759.0,892.4,6.8,32.7
2026-03-11,118457.0,1250.6,5.8,19.2
2026-04-10,122329.0,882.8,6.2,27.0
2026-05-10,119573.0,1467.1,5.9,28.5
2026-06-09,123341.0,1588.0,6.3,15.2
2026-07-09,121694.0,1465.8,6.2,28.8
2026-08-08,118526.0,1215.3,5.9,24.1
2026-09-07,121720.0,1522.2,6.1,19.9
2026-10-07,124037.0,825.3,6.3,28.8
2026-11-06,119914.0,1325.1,6.0,27.3
