Datum,Productie (kg),Trainingstijden (uren),Energieverbruik (kWh),CO2-uitstoot (kg),Kwaliteitsscore (1-10),Defectpercentage (%)
2022-01-01,19943,125.9,2241.0,2140.0,7.1,1.36
2022-01-31,22910,129.9,3979.0,3595.0,7.8,0.0
2022-03-02,20558,87.0,2731.0,2503.0,6.7,4.15
2022-04-01,23025,106.6,4020.0,3633.0,7.4,1.78
2022-05-01,30066,95.0,7021.0,5309.0,6.0,6.11
2022-05-31,25762,122.7,3016.0,2352.0,7.1,3.16
2022-06-30,22284,103.7,3227.0,2879.0,7.8,1.38
2022-07-30,21040,102.8,5484.0,4645.0,6.2,0.86
2022-08-29,19953,106.8,2888.0,2264.0,7.5,2.72
2022-09-28,19989,126.1,5914.0,4299.0,8.2,0.0
2022-10-28,11366,63.2,2431.0,2110.0,7.2,3.76
2022-11-27,20645,98.0,5750.0,4332.0,7.7,2.23
2022-12-27,34678,85.8,6644.0,5325.0,7.5,2.83
2023-01-26,23456,70.5,5247.0,4005.0,7.3,3.79
2023-02-25,37096,77.4,10658.0,8518.0,5.6,7.43
2023-03-27,35366,144.4,5289.0,4243.0,8.5,1.83
2023-04-26,31124,89.2,5048.0,3936.0,6.1,1.44
2023-05-26,32470,134.0,5037.0,4066.0,7.1,2.86
2023-06-25,21762,51.3,6465.0,5114.0,5.9,9.4
2023-07-25,22317,146.9,4620.0,3461.0,7.2,2.41
2023-08-24,19397,63.2,4195.0,3755.0,5.3,2.62
2023-09-23,21899,110.6,6304.0,4977.0,6.9,3.21
2023-10-23,13933,61.2,3392.0,2367.0,6.1,6.93
2023-11-22,28687,126.4,5675.0,4440.0,7.4,0.0
2023-12-22,20794,126.1,4502.0,3470.0,8.3,0.88
2024-01-21,22588,75.0,4722.0,3648.0,7.4,4.96
2024-02-20,35613,97.2,9345.0,7840.0,6.5,4.32
2024-03-21,22451,144.9,4811.0,4285.0,7.0,0.0
2024-04-20,32213,69.7,3226.0,2483.0,5.8,3.88
2024-05-20,35889,102.8,6850.0,5008.0,7.9,2.48
2024-06-19,25823,124.0,7053.0,5753.0,8.4,0.0
2024-07-19,20025,81.3,2637.0,1898.0,5.6,5.81
2024-08-18,14817,110.6,3540.0,2795.0,7.6,3.62
2024-09-17,20750,121.2,3682.0,2693.0,7.9,2.39
2024-10-17,22711,131.4,3262.0,2872.0,7.3,0.0
2024-11-16,21971,140.1,4836.0,4323.0,7.0,2.05
2024-12-16,15465,112.3,3366.0,2592.0,7.6,1.7
2025-01-15,26670,118.0,6826.0,5189.0,6.4,1.47
2025-02-14,23820,93.1,3320.0,2651.0,6.8,3.5
2025-03-16,43566,67.1,5418.0,4046.0,6.5,3.55
2025-04-15,22553,119.9,3994.0,3274.0,7.8,0.0
2025-05-15,26310,94.3,5175.0,4437.0,7.2,2.93
2025-06-14,32185,137.0,3620.0,3245.0,8.7,0.0
2025-07-14,22843,110.3,6675.0,5577.0,7.0,4.6
2025-08-13,25373,80.7,6049.0,5279.0,5.9,2.76
2025-09-12,23695,104.3,5069.0,4287.0,6.4,4.1
2025-10-12,25785,99.4,7278.0,6216.0,7.9,0.28
2025-11-11,26837,91.8,3134.0,2727.0,6.3,0.66
2025-12-11,29669,58.5,3217.0,2252.0,5.9,4.24
2026-01-10,26094,130.7,5495.0,4448.0,7.5,2.9
2026-02-09,35130,128.8,10255.0,8301.0,7.3,1.59
2026-03-11,43019,137.3,9288.0,7405.0,8.3,0.0
2026-04-10,29776,127.9,6392.0,4909.0,6.6,3.77
2026-05-10,36191,124.8,8010.0,5932.0,7.1,0.0
2026-06-09,25011,112.0,5339.0,4427.0,6.8,4.84
2026-07-09,26292,75.7,5609.0,4903.0,7.2,2.66
2026-08-08,17136,108.6,2623.0,1688.0,6.4,0.68
2026-09-07,16279,94.9,2077.0,1482.0,6.2,5.57
2026-10-07,15052,116.4,2506.0,1900.0,8.2,0.7
2026-11-06,24769,132.6,2684.0,2169.0,7.7,0.0
